delta subtype	date
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	17/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-a	20/06/2021
B.1.617.2-d	16/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-a	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-a	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	19/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-b	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	18/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	20/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-c	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-b	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-b	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
